,1.00,2.00,3.00,4.00,5.00,6.00
20.00,20.00,20.00,20.00,30.00,40.00,50.00
40.00,20.00,20.00,20.00,30.00,40.00,50.00
60.00,20.00,20.00,30.00,40.00,40.00,50.00
80.00,20.00,20.00,30.00,40.00,50.00,50.00
100.00,20.00,20.00,30.00,50.00,60.00,60.00
120.00,20.00,20.00,30.00,60.00,70.00,70.00
140.00,20.00,20.00,30.00,70.00,70.00,70.00
160.00,20.00,20.00,30.00,70.00,70.00,70.00
180.00,20.00,20.00,30.00,70.00,70.00,70.00
